sn,phase,peak
758,1883,-512
759,1899,-512
760,1915,-512
761,1930,-243
762,1947,299
763,8,229
764,23,230
765,39,245
766,56,246
767,79,-211
768,97,238
769,116,-217
770,131,228
771,146,210
772,161,232
773,176,264
774,192,207
775,217,208
776,245,253
777,265,-201
778,287,-204
779,309,210
780,330,-225
781,355,237
782,367,-232
783,402,-278
784,429,-210
785,449,-226
786,472,-265
787,503,278
788,530,277
789,556,232
790,686,291
791,767,-512
792,834,299
793,867,390
794,958,-245
795,1029,253
796,1059,280
797,1077,239
798,1095,-241
799,1118,258
800,1132,-236
801,1149,-210
802,1167,212
803,1184,213
804,1212,-202
805,1223,-269
806,1242,-219
807,1258,231
808,1279,253
809,1296,208
810,1316,203
811,1334,-241
812,1354,227
813,1371,-246
814,1388,-246
815,1406,226
816,1429,-254
817,1442,-219
818,1459,-512
819,1490,246
820,1503,-239
821,1518,-512
822,1534,-512
823,1550,-512
824,1565,-337
825,1580,-224
826,1596,-512
827,1612,272
828,1629,-335
829,1643,466
830,1658,-512
831,1674,-512
832,1690,-281
833,1705,273
834,1720,-339
835,1735,357
836,1750,246
837,1765,336
838,1780,228
839,1796,-512
840,1811,287
841,1828,309
842,1842,-300
843,1857,283
844,1872,-512
845,1888,-512
846,1904,-512
847,1922,-327
848,1937,-512
849,1952,234
850,16,-265
851,34,204
852,49,-219
853,64,231
854,82,252
855,97,-234
856,113,222
857,128,211
858,145,215
859,160,-204
860,174,208
861,189,-218
862,204,341
863,222,254
864,236,255
865,252,217
866,268,254
867,283,217
868,298,201
869,318,223
870,332,-241
871,347,223
872,364,210
873,382,-247
874,398,232
875,412,249
876,429,-345
877,444,-233
878,460,-305
879,477,295
880,490,312
881,505,-208
882,520,212
883,539,-454
884,555,-238
885,572,-331
886,595,232
887,610,248
888,630,231
889,646,-309
890,662,-280
891,677,205
892,692,-279
893,707,314
894,725,250
895,739,-512
896,756,295
897,771,338
898,787,-512
899,802,-512
900,819,-242
901,834,-512
902,849,-378
903,864,306
904,879,-512
905,895,-512
906,912,-512
907,927,219
908,942,288
909,957,-512
910,973,-235
911,990,-243
912,1007,-234
913,1019,221
914,1036,245
915,1051,211
916,1069,-228
917,1086,215
918,1100,-222
919,1117,218
920,1133,254
921,1149,226
922,1165,-236
923,1183,-227
924,1195,-307
925,1215,210
926,1232,-512
927,1248,209
928,1268,204
929,1295,226
930,1319,-313
931,1338,-205
932,1360,-217
933,1382,298
934,1406,288
935,1426,240
936,1458,-512
937,1490,-512
938,1512,261
939,1536,-275
940,1563,-512
941,1605,294
942,1673,-512
943,1764,-512
944,1811,-243
945,1839,-331
946,1925,-512
947,74,218
948,107,217
949,120,-263
950,138,231
951,156,224
952,173,-223
953,194,277
954,207,-201
955,224,204
956,246,-203
957,266,227
958,284,-221
959,304,236
960,334,-278
961,343,224
962,361,-218
963,379,274
964,396,250
965,413,-357
966,430,232
967,449,-477
968,469,233
969,484,-392
970,501,371
971,518,424
972,535,-297
973,553,225
974,570,223
975,587,241
976,604,-213
977,623,309
978,641,-419
979,659,-315
980,675,285
981,697,-512
982,717,-512
983,742,-257
984,759,-512
985,784,-512
986,798,358
987,814,254
988,829,-257
989,845,391
990,860,-512
991,877,-512
992,894,-512
993,908,1536
994,925,248
995,946,-512
996,969,258
997,990,-211
998,1004,-241
999,1025,203
1000,1042,-221
1001,1062,216
1002,1079,279
1003,1101,-224
1004,1113,218
1005,1133,235
1006,1151,203
1007,1169,210
1008,1186,257
1009,1209,218
1010,1222,302
1011,1242,207
1012,1256,-209
1013,1273,-207
1014,1297,-217
1015,1306,214
1016,1326,-277
1017,1348,234
1018,1360,271
1019,1382,-204
1020,1394,-273
1021,1413,-280
1022,1430,-223
1023,1447,-512
1024,1471,-512
1025,1498,-512
1026,1517,-472
1027,1549,-313
1028,1563,-512
1029,1596,-294
1030,1613,-512
1031,1638,237
1032,1660,-203
1033,1673,-220
1034,1698,224
1035,1728,-512
1036,1764,-512
1037,1796,339
1038,1820,-512
1039,1847,250
1040,1864,-512
1041,1889,328
1042,1906,-312
1043,1924,-512
1044,1950,298
1045,13,301
1046,30,245
1047,48,201
1048,64,267
1049,89,207
1050,106,-213
1051,125,-205
1052,146,-224
1053,162,-222
1054,179,220
1055,197,205
1056,214,201
1057,233,218
1058,252,205
1059,272,-237
1060,307,-230
1061,323,209
1062,344,249
1063,366,221
1064,384,-229
1065,405,-318
1066,430,-285
1067,452,-349
1068,486,-254
1069,516,-226
1070,538,384
1071,572,-344
1072,604,-399
1073,696,281
1074,783,-324
1075,832,-512
1076,879,-512
1077,930,-294
1078,966,-512
1079,1001,-215
1080,1047,-254
1081,1099,218
1082,1217,203
1083,1243,235
1084,1274,215
1085,1293,-217
1086,1310,216
1087,1328,241
1088,1346,203
1089,1363,263
1090,1380,-284
1091,1397,-267
1092,1416,275
1093,1434,271
1094,1451,218
1095,1469,-259
1096,1486,307
1097,1504,-512
1098,1529,-512
1099,1555,-512
1100,1571,-512
1101,1588,-228
1102,1601,245
1103,1617,466
1104,1632,-512
1105,1648,-512
1106,1665,-264
1107,1678,-512
1108,1696,-341
1109,1709,488
1110,1724,-512
1111,1739,-257
1112,1754,-452
1113,1769,-512
1114,1784,-512
1115,1801,-512
1116,1817,-512
1117,1835,-512
1118,1850,-512
1119,1866,-512
1120,1881,-512
1121,1898,-323
1122,1913,-512
1123,1928,-512
1124,1944,297
1125,6,-253
1126,27,234
1127,41,-219
1128,59,233
1129,75,207
1130,92,-211
1131,110,-224
1132,123,-222
1133,138,219
1134,155,-212
1135,170,249
1136,187,212
1137,202,-243
1138,219,227
1139,233,268
1140,249,235
1141,265,248
1142,281,213
1143,296,202
1144,311,-203
1145,326,-235
1146,343,-223
1147,358,242
1148,373,241
1149,388,202
1150,404,337
1151,418,-378
1152,433,215
1153,448,-378
1154,463,-287
1155,478,212
1156,494,-305
1157,510,-440
1158,523,233
1159,538,226
1160,553,-281
1161,568,255
1162,583,212
1163,598,-203
1164,613,-222
1165,629,-249
1166,650,371
1167,664,260
1168,683,306
1169,703,229
1170,718,-512
1171,735,316
1172,750,-512
1173,766,339
1174,781,-512
1175,781,-512
1176,816,-291
1177,830,-512
1178,847,252
1179,862,-512
1180,878,270
1181,893,-512
1182,908,303
1183,924,-288
1184,939,-512
1185,955,-312
1186,970,242
1187,986,471
